date,low_price,high_price,close_price,open_price,volume,time
2021-04-18 00:00:00,60059.32,60201.4,60199.33,60067.2,10.08289817,1618704000
2021-04-18 00:01:00,60199.33,60249.0,60244.74,60199.34,8.66114082,1618704060
2021-04-18 00:02:00,60041.44,60258.03,60044.66,60244.74,19.7728761,1618704120
2021-04-18 00:03:00,60040.0,60171.98,60171.98,60044.67,10.81128455,1618704180
2021-04-18 00:04:00,60152.44,60211.15,60198.37,60171.65,8.07378538,1618704240
2021-04-18 00:05:00,60130.09,60198.37,60190.81,60198.37,14.54168812,1618704300
2021-04-18 00:06:00,60186.14,60279.99,60279.99,60198.37,3.85408043,1618704360
2021-04-18 00:07:00,60280.0,60382.61,60359.26,60280.0,9.64921406,1618704420
2021-04-18 00:08:00,60270.64,60402.72,60303.55,60350.01,9.12764156,1618704480
2021-04-18 00:09:00,60237.27,60315.23,60315.23,60303.55,5.50467472,1618704540
2021-04-18 00:10:00,60315.22,60408.22,60408.22,60315.23,9.53369539,1618704600
2021-04-18 00:11:00,60306.04,60423.95,60306.05,60408.21,7.28097694,1618704660
2021-04-18 00:12:00,60286.11,60375.8,60325.48,60306.04,5.47228181,1618704720
2021-04-18 00:13:00,60297.0,60331.55,60318.18,60325.48,2.4447114,1618704780
2021-04-18 00:14:00,60318.18,60350.0,60349.99,60318.18,2.90957067,1618704840
2021-04-18 00:15:00,60322.76,60373.32,60373.32,60350.0,2.90866119,1618704900
2021-04-18 00:16:00,60339.6,60437.97,60425.11,60373.32,3.50230015,1618704960
2021-04-18 00:17:00,60346.39,60425.12,60410.19,60425.12,7.91778754,1618705020
2021-04-18 00:18:00,60310.92,60410.24,60320.01,60410.19,4.2643619,1618705080
2021-04-18 00:19:00,60222.2,60320.01,60251.43,60320.01,6.90739781,1618705140
2021-04-18 00:20:00,60251.44,60336.83,60302.08,60251.44,10.5062475,1618705200
2021-04-18 00:21:00,60150.03,60322.52,60162.47,60302.08,7.14624596,1618705260
2021-04-18 00:22:00,60050.01,60166.44,60057.6,60162.48,7.97751266,1618705320
2021-04-18 00:23:00,59962.73,60057.58,59988.8,60057.58,59.98159051,1618705380
2021-04-18 00:24:00,59790.01,59988.19,59790.01,59988.15,42.62242195,1618705440
2021-04-18 00:25:00,59778.05,59905.51,59816.1,59790.01,30.61238993,1618705500
2021-04-18 00:26:00,59744.0,59816.11,59785.02,59816.11,21.53834037,1618705560
2021-04-18 00:27:00,59700.0,59798.34,59778.4,59785.03,32.18886324,1618705620
2021-04-18 00:28:00,59750.0,59867.84,59752.84,59778.4,18.0987165,1618705680
2021-04-18 00:29:00,59636.58,59752.84,59657.21,59752.84,58.96068099,1618705740
2021-04-18 00:30:00,59432.34,59657.21,59445.08,59657.21,120.42710776,1618705800
2021-04-18 00:31:00,59369.85,59631.61,59618.28,59443.51,83.75146999,1618705860
2021-04-18 00:32:00,59502.12,59716.2,59707.65,59618.3,29.51950277,1618705920
2021-04-18 00:33:00,59608.79,59748.86,59670.57,59707.65,27.12277469,1618705980
2021-04-18 00:34:00,59623.46,59789.18,59788.58,59662.99,17.77159338,1618706040
2021-04-18 00:35:00,59788.58,59843.56,59800.0,59788.58,13.00440145,1618706100
2021-04-18 00:36:00,59720.07,59802.13,59787.34,59800.0,13.34452311,1618706160
2021-04-18 00:37:00,59741.69,59792.33,59786.13,59787.34,6.06341866,1618706220
2021-04-18 00:38:00,59674.98,59817.84,59674.98,59783.46,13.12444313,1618706280
2021-04-18 00:39:00,59618.31,59712.72,59666.24,59674.98,13.00944666,1618706340
2021-04-18 00:40:00,59585.99,59681.38,59600.0,59680.5,12.25215568,1618706400
2021-04-18 00:41:00,59571.07,59662.35,59656.55,59600.01,22.83172093,1618706460
2021-04-18 00:42:00,59661.11,59822.72,59822.72,59661.11,13.38164671,1618706520
2021-04-18 00:43:00,59780.35,59838.24,59825.73,59822.72,21.83444943,1618706580
2021-04-18 00:44:00,59774.39,59828.81,59775.31,59820.0,7.54438199,1618706640
2021-04-18 00:45:00,59677.19,59775.31,59690.12,59774.4,8.47819788,1618706700
2021-04-18 00:46:00,59648.01,59718.0,59665.94,59693.62,9.51281226,1618706760
2021-04-18 00:47:00,59684.34,59767.6,59752.44,59684.34,4.57061314,1618706820
2021-04-18 00:48:00,59752.43,59819.16,59819.13,59752.44,6.8755264,1618706880
2021-04-18 00:49:00,59741.14,59830.0,59741.14,59819.13,16.12461264,1618706940
2021-04-18 00:50:00,59687.38,59750.12,59687.39,59741.14,6.6643788,1618707000
2021-04-18 00:51:00,59685.0,59818.62,59818.62,59687.39,12.11015624,1618707060
